"Huishoudens; samenstelling, grootte, regio, 1 januari"
""
"";"";"";"Onderwerp"
"";"";"";"Particuliere huishoudens: samenstelling|Totaal particuliere huishoudens";"Particuliere huishoudens: samenstelling|Eenpersoonshuishouden";"Particuliere huishoudens: samenstelling|Meerpersoonshuishouden|Totaal meerpersoonshuishoudens";"Particuliere huishoudens: samenstelling|Meerpersoonshuishouden|Niet-gehuwd paar|Totaal niet-gehuwde paren";"Particuliere huishoudens: samenstelling|Meerpersoonshuishouden|Gehuwd paar|Totaal gehuwde paren";"Particuliere huishoudens: samenstelling|Meerpersoonshuishouden|Eenouderhuishouden|Totaal eenouderhuishoudens";"Particuliere huishoudens: grootte|Meerpersoonshuishouden|2 personen";"Particuliere huishoudens: grootte|Meerpersoonshuishouden|3 personen";"Particuliere huishoudens: grootte|Meerpersoonshuishouden|4 personen";"Particuliere huishoudens: grootte|Meerpersoonshuishouden|5 of meer personen"
"Regio's";"Leeftijd referentiepersoon";"Perioden";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Amsterdam";"70 tot 75 jaar";"2010";"14962";"8761";"6201";"467";"5253";"435";"5305";"630";"165";"101"
"Amsterdam";"70 tot 75 jaar";"2015";"17514";"10099";"7415";"722";"6063";"591";"6253";"756";"247";"159"
"Amsterdam";"70 tot 75 jaar";"2020";"23823";"14463";"9360";"1137";"7279";"899";"7845";"1021";"342";"152"
"Amsterdam";"75 tot 80 jaar";"2000";"15122";"9624";"5498";"331";"4727";"384";"5158";"291";"32";"17"
"Amsterdam";"75 tot 80 jaar";"2005";"12936";"8367";"4569";"246";"3965";"306";"4274";"258";"30";"7"
"Amsterdam";"75 tot 80 jaar";"2010";"11953";"7614";"4339";"263";"3748";"305";"3992";"262";"60";"25"
"Amsterdam";"75 tot 80 jaar";"2015";"12793";"7852";"4941";"373";"4145";"396";"4364";"408";"120";"49"
"Amsterdam";"75 tot 80 jaar";"2020";"15204";"9260";"5944";"529";"4884";"500";"5134";"554";"154";"102"
"Amsterdam";"80 tot 85 jaar";"2000";"10164";"7322";"2842";"204";"2326";"270";"2692";"129";"18";"3"
"Amsterdam";"80 tot 85 jaar";"2005";"10749";"7681";"3068";"176";"2605";"256";"2903";"144";"13";"8"
"Amsterdam";"80 tot 85 jaar";"2010";"9580";"6801";"2779";"153";"2371";"225";"2622";"132";"17";"8"
"Amsterdam";"80 tot 85 jaar";"2015";"9094";"6167";"2927";"177";"2433";"299";"2721";"158";"26";"22"
"Amsterdam";"80 tot 85 jaar";"2020";"10091";"6641";"3450";"250";"2845";"338";"3119";"239";"63";"29"
"Amsterdam";"85 tot 90 jaar";"2000";"5825";"4633";"1192";"116";"880";"170";"1138";"51";"2";"1"
"Amsterdam";"85 tot 90 jaar";"2005";"5387";"4275";"1112";"77";"868";"144";"1060";"47";"4";"1"
"Amsterdam";"85 tot 90 jaar";"2010";"6299";"4940";"1359";"91";"1105";"150";"1298";"54";"4";"3"
"Amsterdam";"85 tot 90 jaar";"2015";"5584";"4212";"1372";"85";"1092";"182";"1299";"66";"5";"2"
"Amsterdam";"85 tot 90 jaar";"2020";"5684";"4175";"1509";"93";"1229";"177";"1401";"81";"19";"8"
